,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,savings,yearly total savings
106, 01/05  11:00:00,1.13548042718,0.0625536167333,2.826923,-1.69144257282,-0.0424382941521,0.05509,0.02509,-1.69144257282,0.307928156698,-1.62888895609,1463.74310634
107, 01/05  12:00:00,1.11081379147,0.0611947317721,3.273607,-2.16279320853,-0.054264481602,0.05509,0.02509,-2.16279320853,0.526087282515,-2.10159847676,1463.74310634
108, 01/05  13:00:00,1.0894309234,0.0600167495701,3.5158,-2.4263690766,-0.0608776001319,0.05509,0.02509,-2.4263690766,0.77083308372,-2.36635232703,1463.74310634
109, 01/05  14:00:00,1.05284421796,0.0580011879674,3.189306,-2.13646178204,-0.0536038261114,0.05509,0.02509,-2.13646178204,0.986336180769,-2.07846059407,1463.74310634
110, 01/05  15:00:00,1.06223994558,0.058518798602,2.220516,-1.15827605442,-0.0290611462054,0.05509,0.02509,-1.15827605442,1.10317050894,-1.09975725582,1463.74310634
111, 01/05  16:00:00,1.16277355773,0.0640571952953,1.439552,-0.27677844227,-0.00694437111655,0.05509,0.02509,0.0,1.10317050894,0.0640571952953,1463.74310634
112, 01/05  17:00:00,1.48228502217,0.260407832695,0.255889,1.22639602217,0.215453253175,0.17568,0.14568,1.22639602217,0.979464977106,1.48680385486,1463.74310634
113, 01/05  18:00:00,2.0858474349,0.366441677363,0.0,2.0858474349,0.366441677363,0.17568,0.14568,2.0858474349,0.769067306542,2.45228911226,1463.74310634
114, 01/05  19:00:00,2.50163595499,0.439487404573,0.0,2.50163595499,0.439487404573,0.17568,0.14568,2.50163595499,0.51672939883,2.94112335956,1463.74310634
115, 01/05  20:00:00,2.46960107848,0.433859517467,0.0,2.46960107848,0.433859517467,0.17568,0.14568,2.46960107848,0.267622822077,2.90346059595,1463.74310634
116, 01/05  21:00:00,2.28963847663,0.402243687574,0.0,2.28963847663,0.402243687574,0.17568,0.14568,2.28963847663,0.0366689211078,2.6918821642,1463.74310634
117, 01/05  22:00:00,2.09814507133,0.163235686549,0.0,2.09814507133,0.163235686549,0.0778,0.0478,0.0,0.0366689211078,0.163235686549,1463.74310634
118, 01/05  23:00:00,1.72271956457,0.134027582124,0.0,1.72271956457,0.134027582124,0.0778,0.0478,0.0,0.0366689211078,0.134027582124,1463.74310634
119, 01/05  24:00:00,1.35089557754,0.105099675933,0.0,1.35089557754,0.105099675933,0.0778,0.0478,0.0,0.0366689211078,0.105099675933,1463.74310634
120, 01/06  01:00:00,0.983868869661,0.0765449980596,0.0,0.983868869661,0.0765449980596,0.0778,0.0478,0.0,0.0366689211078,0.0765449980596,1463.74310634
121, 01/06  02:00:00,0.836588688485,0.0650865999641,0.0,0.836588688485,0.0650865999641,0.0778,0.0478,0.0,0.0366689211078,0.0650865999641,1463.74310634
122, 01/06  03:00:00,0.781877818843,0.060830094306,0.0,0.781877818843,0.060830094306,0.0778,0.0478,0.0,0.0366689211078,0.060830094306,1463.74310634
123, 01/06  04:00:00,0.774811724224,0.0602803521446,0.0,0.774811724224,0.0602803521446,0.0778,0.0478,0.0,0.0366689211078,0.0602803521446,1463.74310634
124, 01/06  05:00:00,0.786214878246,0.0611675175275,0.0,0.786214878246,0.0611675175275,0.0778,0.0478,0.0,0.0366689211078,0.0611675175275,1463.74310634
125, 01/06  06:00:00,0.837158253215,0.0651309121001,0.0,0.837158253215,0.0651309121001,0.0778,0.0478,0.0,0.0366689211078,0.0651309121001,1463.74310634
126, 01/06  07:00:00,1.10169380763,0.0857117782336,0.0,1.10169380763,0.0857117782336,0.0778,0.0478,0.0,0.0366689211078,0.0857117782336,1463.74310634
127, 01/06  08:00:00,1.51698657437,0.118021555486,0.319367,1.19761957437,0.093174802886,0.0778,0.0478,0.0,0.0366689211078,0.118021555486,1463.74310634
128, 01/06  09:00:00,1.42947305615,0.0787496706633,1.402662,0.02681105615,0.0014770210833,0.05509,0.02509,0.0,0.0366689211078,0.0787496706633,1463.74310634
129, 01/06  10:00:00,1.20211741716,0.0662246485113,2.36326,-1.16114258284,-0.0291330674035,0.05509,0.02509,-1.16114258284,0.15379239358,-1.09491793433,1463.74310634
130, 01/06  11:00:00,1.19230786824,0.0656842404613,3.003047,-1.81073913176,-0.0454314448159,0.05509,0.02509,-1.81073913176,0.336440121764,-1.7450548913,1463.74310634
131, 01/06  12:00:00,1.16789274078,0.0643392110896,3.268001,-2.10010825922,-0.0526917162238,0.05509,0.02509,-2.10010825922,0.548276269643,-2.03576904813,1463.74310634
132, 01/06  13:00:00,1.16097599602,0.0639581676207,3.543012,-2.38203600398,-0.0597652833399,0.05509,0.02509,-2.38203600398,0.788550231224,-2.31807783636,1463.74310634
